black_rollouts,white_rollouts,result,duration_iters
32802,241262,1,37
51474,18118552,0,26
21289,18936480,0,22
3770642,11135508,0,42
1434578,2303638,0,22
32219,2552774,0,34
16724203,301207,1,25
122869,3604477,0,22
2990638,2659713,1,39
31531,13061023,0,30
15771618,41158,1,25
52578,52262,0,30
158438,80266,0,32
267807,595199,0,22
7028393,6771676,0,48
96849,1646369,0,28
10350803,340232,1,21
363394,1131421,1,23
14828756,2080287,1,21
17126,4748737,0,24
15110665,5924868,1,27
40789,5364964,0,24
44063,4717442,0,22
305695,49131,1,21
2784425,5059313,0,22
750838,62972,1,21
1083557,1235004,1,23
39721,21700,1,23
572207,69998,0,26
28028,12287734,0,24
159485,928623,0,24
22620,6218075,0,32
3217237,343193,1,21
17379,184967,0,24
246655,1421388,0,34
198372,112071,0,22
773483,32321,1,21
10211672,15209462,1,49
2011708,28998,1,21
36993,28615,1,27
6764724,4441212,1,29
7133385,4301277,1,27
90624,2753114,0,48
148534,121917,1,21
3722391,83816,1,21
3705478,462304,1,21
9403235,11977617,1,59
15937,1656778,0,38
5420015,74210,1,25
2501101,124403,1,27
137866,15091,1,25
323414,7643933,0,22
1210666,84639,0,30
649285,420196,0,22
18243,559804,0,42
7068814,156286,1,21
288622,7778901,0,28
1916851,1953877,1,57
217797,465995,0,22
12270956,426861,1,21
15153,46397,0,22
45260,5048530,0,36
5868458,667421,1,21
608671,3954310,0,30
3966419,88564,1,31
1916305,17732,1,21
51345,894903,1,21
17513922,52560,1,21
696111,650043,1,21
609118,2955327,0,60
81072,432749,1,43
480558,13187097,0,22
126093,102850,1,31
41804,1338287,0,22
4442746,1129075,1,27
267527,37228,1,25
24519,28059,1,27
16204,4099593,0,22
5621347,2188203,1,21
252260,880884,1,25
21466,39961,1,31
1726468,1204002,1,21
1107299,358508,1,21
644834,2424693,1,21
5683260,12354606,1,63
1442705,1540475,1,33
250914,143574,0,44
9528033,235511,1,33
104310,5947754,0,22
23756,24540,1,31
17843,1740510,0,22
7090608,85437,1,33
25670,8011940,0,24
1095265,8507449,0,22
2114826,1192509,1,23
16073990,128443,1,23
75707,36482,1,23
3505637,18020,1,21
71765,825897,0,22
1942636,93912,1,41
87613,22802,1,31
110920,6793039,0,42
30910,675975,0,22
17396,128011,0,22
6527873,12675889,0,44
117853,210115,0,26
445381,711242,1,25
992425,283795,1,41
98560,1547951,0,22
222253,74891,1,23
2295362,16192909,0,28
11079825,19348,1,23
140934,10050875,0,24
163061,3032038,0,22
182205,488285,0,22
16765694,8833964,1,35
505820,11281996,0,28
15028100,1671227,1,21
7366760,5331460,1,51
3634828,7963355,0,56
347943,234507,1,21
831746,131098,1,21
3103923,2200902,1,21
1710956,78135,1,21
93682,102032,1,47
1123032,10581891,0,68
12063715,51245,1,21
104793,51055,1,27
377598,6389541,0,22
1901943,129432,1,21
13092944,4032956,1,73
72960,188445,1,31
15257566,57763,1,21
30422,6647023,0,28
696483,201533,1,29
15640780,29888,1,21
359801,158164,0,30
712061,962760,0,22
51222,57125,0,22
2181822,57070,1,21
127297,625091,1,27
317863,16916,1,21
84967,403136,0,22
23777,510100,0,24
235958,46921,1,21
35290,1056690,1,41
39012,240923,0,34
47898,549999,0,22
115441,291346,1,29
499388,1613700,1,23
2344344,376134,1,33
1099964,7389526,0,28
31150,1895614,0,24
322401,9044094,0,30
31975,2925653,0,40
99828,289292,0,24
42395,7539313,0,32
454510,850260,0,22
7926319,100773,1,25
3443186,4127887,1,55
121847,4319514,0,22
103677,7902721,0,30
2757077,302921,1,21
114433,1862698,0,22
200118,218090,0,26
114878,15507184,0,22
15502555,16818,1,25
18689377,162536,1,21
337737,22839,1,43
4063178,1731955,1,21
55328,59239,0,30
19483291,5035666,1,33
1928155,16206,1,21
527807,8067608,0,36
15209,866896,0,22
7395139,187629,1,21
17721,44119,0,24
1555631,328565,1,21
1597332,928680,0,22
329938,17640702,0,70
185286,6948294,0,26
2041829,58981,1,21
19011,30819,0,36
36554,11558625,0,22
57488,476748,0,32
47086,1058400,1,29
7960674,86434,1,21
1408235,42825,1,33
8188723,12370075,0,22
69372,26209,1,23
554027,11385824,0,82
3473620,17262,1,27
582291,16596,1,23
7640963,136216,1,29
164982,497531,1,21
1000370,465946,1,23
5466515,732809,1,29
1854727,12547276,0,22
7118051,65393,1,21
54801,2598681,1,27
243150,2880799,0,30
10367644,619460,1,23
19719,1717507,0,22
1621717,1687444,1,41
2706484,655075,1,23
37923,50404,0,26
490310,10119178,0,22
260717,7769606,0,30
56414,1637808,0,26
2394374,84945,1,23
58257,97540,0,26
279928,1767112,0,22
423479,201959,0,22
83412,9173197,0,34
26644,34685,1,35
5765315,913627,1,21
1398445,124143,1,23
35756,27931,0,30
1481360,114497,1,21
1492815,15713,1,21
221228,53921,1,23
102059,7613031,0,22
41360,3693028,0,28
13288081,290337,1,63
2799351,681730,0,24
7401149,543366,1,21
2195448,3534342,0,26
297320,182440,1,21
1199599,743151,0,36
4896834,25749,1,25
54902,20976,1,25
981698,20648,1,21
3322381,599323,1,27
1225927,228784,1,21
9444337,2200279,1,21
317400,616168,1,23
2464258,15020510,0,22
19099741,35787,1,27
976910,143312,0,30
16274857,18711,1,21
10417806,24420,1,45
9663199,4417006,1,59
43030,327438,0,24
43177,19618,1,25
3420538,1193228,1,21
78620,179437,1,29
4388200,39585,1,31
67295,1511707,0,22
28762,4288743,0,22
39210,113907,1,33
1547570,19253,1,23
14729,2301740,0,26
26512,88953,1,39
771977,2720617,0,38
122396,17393,0,26
1584946,81980,1,35
1535663,35028,1,41
72164,1319079,0,22
4747490,97842,1,21
36332,68793,0,26
7439656,333530,1,21
1290466,215990,1,21
23056,14551803,0,30
7810731,16686,1,23
72076,207090,1,25
58660,9634548,0,24
2939567,154855,1,23
210020,1204223,0,22
1801460,3240070,0,26
129038,1004985,0,28
135972,2753241,0,22
7714194,3590469,1,23
176466,15664424,0,24
1284633,12425201,0,22
287314,6720825,0,22
1268340,44620,1,39
116710,33439,1,37
2408233,1149726,1,21
155875,30568,1,21
62824,1010521,0,30
16034046,2344278,1,23
7170407,364772,1,21
2092903,41112,1,37
16889523,17970784,0,46
380684,767287,0,24
1407481,5982272,0,40
1379690,42069,1,21
41281,171074,0,22
29837,892375,1,37
356247,16401404,0,32
583678,47545,1,29
76287,18853,0,30
94096,236935,0,24
275306,20854,1,23
31025,1443955,0,22
10551455,8654655,0,22
9428811,85049,1,29
1989958,22492,1,27
1723441,148304,1,21
1167458,300548,0,26
1418872,15345852,0,70
181343,110414,1,25
148817,4215251,0,36
37516,27870,0,28
276560,1656772,0,22
10233331,13046779,0,22
121170,3877916,0,36
16495995,493279,1,23
148212,13673728,0,22
357468,524043,0,22
414679,77289,1,21
11649972,123592,1,21
20129,1528278,0,22
748779,57396,1,23
2996470,3662095,1,39
103509,556819,1,27
2661296,11707696,0,34
32622,1215181,0,22
73203,11100181,0,24
1123923,1199400,1,45
16839571,1075904,1,25
15657064,1036693,1,21
83320,255420,1,35
544775,9607489,0,22
9939643,583933,1,21
7285500,714610,1,25
185147,17663,1,21
6550041,225659,1,37
19161545,11365567,1,35
560680,16693147,0,58
963484,197744,1,21
17324413,2666439,1,21
1509839,1112706,0,42
236172,8332649,1,25
16232,25020,1,39
872057,15321120,0,30
18646935,1401001,1,21
5594186,51288,1,27
57091,6250474,0,26
56331,1541916,0,22
1737324,17680,1,31
5687815,9405301,0,22
96299,23514,1,23
23295,1887018,0,22
195733,1863702,0,22
36443,699384,0,30
2160371,2281668,0,52
272879,65661,1,21
27341,398753,0,26
24101,28210,1,23
14058504,9905490,0,44
5193186,325720,1,23
219758,110542,1,25
80811,32284,1,25
148940,11155879,0,22
441639,33480,1,21
2634239,10009645,0,22
2597171,968141,1,23
6416483,1813516,1,41
43483,13812331,0,32
44015,2599184,0,36
225519,308658,0,38
13430601,120128,1,21
1380645,15950,1,21
658873,5837598,0,22
1060192,10441782,0,32
2375216,376440,1,21
754959,152757,1,27
176920,19038338,0,22
321661,368995,0,22
261855,18276,1,23
15572046,3717623,1,27
189623,989923,1,29
462593,177256,1,21
986700,15918219,1,63
417458,2586101,1,29
310175,44311,0,30
60903,1916877,0,24
5605021,2255016,1,25
4426628,41786,1,31
76117,41556,0,44
18633795,1067959,1,21
657043,1337389,0,34
5686914,2421709,1,21
4167183,35002,1,21
86648,16447766,0,22
4978125,189918,1,21
3505512,312552,1,21
428799,1448203,0,38
363201,1533298,0,36
28534,1124680,0,42
49336,81493,0,26
1771786,486096,1,23
4335559,6985801,0,22
13079767,604184,1,33
532815,6824015,0,52
456547,18853,1,21
16989950,2721484,1,21
2834983,1894463,1,25
1710284,17158,1,21
81322,6101249,0,22
3356180,6652725,0,22
8337442,1230914,1,23
24094,15041551,0,26
11097309,14753013,1,67
12940915,8773946,0,46
18955950,9524727,0,50
